Event Name,Timestamp,Trial Duration,Trial Num,Die World Position X,Die World Position Y,Die World Position Z,Die World Position Magnitude,Die World Rotation X,Die World Rotation Y,Die World Rotation Z,Die World Rotation W,Die World Rotation Angle,Die World Rotation Axis X,Die World Rotation Axis Y,Die World Rotation Axis Z,Die Local Position X,Die Local Position Y,Die Local Position Z,Die Local Position Magnitude,Die Local Rotation X,Die Local Rotation Y,Die Local Rotation Z,Die Local Rotation W,Die Local Rotation Angle,Die Local Rotation Axis X,Die Local Rotation Axis Y,Die Local Rotation Axis Z,Die Local_left Position X,Die Local_left Position Y,Die Local_left Position Z,Die Local_left Position Magnitude,Die Local_left Rotation X,Die Local_left Rotation Y,Die Local_left Rotation Z,Die Local_left Rotation W,Die Local_left Rotation Angle,Die Local_left Rotation Axis X,Die Local_left Rotation Axis Y,Die Local_left Rotation Axis Z,Target Offset Position X,Target Offset Position Y,Target Offset Position Z,Target Offset Position Magnitude,Target Offset Rotation X,Target Offset Rotation Y,Target Offset Rotation Z,Target Offset Rotation W,Target Offset Rotation Angle,Target Offset Rotation Axis X,Target Offset Rotation Axis Y,Target Offset Rotation Axis Z
On Target,1772880172759,23.94476,1,0.09484043,1.101915,0.2970946,1.145197,-0.4387534,-0.03245798,-0.7807244,-0.4437471,232.6864,-0.489597,-0.03621928,-0.8711963,0.1148077,-0.06651145,0.02282934,0.1346319,-0.9649959,-0.1608624,0.1844176,-0.09432116,190.8245,-0.9693173,-0.1615828,0.1852434,-0.3436092,-0.3106481,-0.3454098,0.5778213,0.4250191,-0.4627246,-0.6850339,0.3687454,136.7235,0.4572407,-0.4978047,-0.7369678,0.005159572,-0.001914501,0.002905428,0.006223183,-0.05006694,-0.05453394,-0.04565611,-0.9962103,350.0206,-0.5756357,-0.6269941,-0.524923
Trial End,1772880173745,24.93145,1,0.09843987,1.099651,0.2918775,1.141978,-0.4551789,-0.009206385,-0.7820139,-0.4256545,230.3842,-0.5030236,-0.01017409,-0.8642128,0.1117525,-0.0660723,0.02558501,0.1323207,-0.9624897,-0.1482368,0.1966461,-0.1138853,193.0787,-0.9687927,-0.1492075,0.1979338,-0.3381128,-0.3037988,-0.3479746,0.5724511,0.3930263,-0.477655,-0.689768,0.3762929,135.7915,0.424205,-0.5155473,-0.7444872,0.001560129,0.0003495216,0.008122474,0.00827833,-0.01664249,-0.05065747,-0.04337857,-0.9976348,352.1171,-0.2421192,-0.736978,-0.6310826
Trial Load,1772880173745,24.93145,2,-0.1,1.1,0.3,1.144552,0,0,0,1,0,1,0,0,0.1117525,-0.0660723,0.02558501,0.1323207,-0.9624897,-0.1482368,0.1966461,-0.1138853,193.0787,-0.9687927,-0.1492075,0.1979338,-0.3381128,-0.3037988,-0.3479746,0.5724511,0.3930263,-0.477655,-0.689768,0.3762929,135.7915,0.424205,-0.5155473,-0.7444872,0.2,0,0,0.2,0.3726724,0.07010672,0.8424689,0.3826835,135,0.4033777,0.07588297,0.9118817
Release,1772880173758,24.93145,2,-0.1,1.1,0.3,1.144552,0,0,0,1,0,1,0,0,0.2476697,-0.1400935,0.1500622,0.3216911,0.2408798,0.9042958,-0.1142849,0.3334141,141.0477,0.2554993,0.9591796,-0.1212211,-0.2149417,-0.4338946,-0.2619012,0.5505058,-0.3639179,-0.413741,0.8089719,0.2048084,156.3634,-0.3717993,-0.4227014,0.8264919,0.2,0,0,0.2,0.3726724,0.07010672,0.8424689,0.3826835,135,0.4033777,0.07588297,0.9118817
Trial Start,1772880175634,0,2,-0.1010493,1.097908,0.2988899,1.142344,0.007098598,-0.009437826,-0.02800457,0.9995381,3.483175,0.233573,-0.3105432,-0.9214655,0.2476697,-0.1400935,0.1500622,0.3216911,0.2408798,0.9042958,-0.1142849,0.3334141,141.0477,0.2554993,0.9591796,-0.1212211,-0.2149417,-0.4338946,-0.2619012,0.5505058,-0.3639179,-0.413741,0.8089719,0.2048084,156.3634,-0.3717993,-0.4227014,0.8264919,0.2010493,0.002091646,0.001110107,0.2010632,0.363796,0.05726916,0.8568115,0.3608975,137.6893,0.3900856,0.06140769,0.9187286
Grab,1772880175634,0,2,-0.1010493,1.097908,0.2988899,1.142344,0.007098598,-0.009437826,-0.02800457,0.9995381,3.483175,0.233573,-0.3105432,-0.9214655,0.2476697,-0.1400935,0.1500622,0.3216911,0.2408798,0.9042958,-0.1142849,0.3334141,141.0477,0.2554993,0.9591796,-0.1212211,-0.2149417,-0.4338946,-0.2619012,0.5505058,-0.3639179,-0.413741,0.8089719,0.2048084,156.3634,-0.3717993,-0.4227014,0.8264919,0.2010493,0.002091646,0.001110107,0.2010632,0.363796,0.05726916,0.8568115,0.3608975,137.6893,0.3900856,0.06140769,0.9187286
Release,1772880176356,0.7212681,2,-0.04707647,1.093293,0.2772428,1.12888,0.6936553,-0.01557377,0.04517755,0.7187203,88.10215,0.9976355,-0.02239866,0.06497569,0.1198561,-0.0471495,0.03148985,0.1325902,0.4027309,0.8906448,-0.1617811,-0.1355976,195.5864,0.4064851,0.8989475,-0.1632892,-0.195451,-0.4168992,-0.2609042,0.529223,-0.1772407,0.2875244,0.8687683,0.3621562,137.5346,-0.1901485,0.3084638,0.9320374,0.1470765,0.006707191,0.02275717,0.1489777,-0.01389085,-0.5111996,0.6426445,0.5705174,110.4274,-0.01691355,-0.6224384,0.7824862
Grab,1772880177897,2.262949,2,-0.04770123,1.102252,0.2648932,1.134638,0.6488277,0.3496917,0.1415665,0.6608309,97.27347,0.8644871,0.4659233,0.1886208,0.1198561,-0.0471495,0.03148985,0.1325902,0.4027309,0.8906448,-0.1617811,-0.1355976,195.5864,0.4064851,0.8989475,-0.1632892,-0.195451,-0.4168992,-0.2609042,0.529223,-0.1772407,0.2875244,0.8687683,0.3621562,137.5346,-0.1901485,0.3084638,0.9320374,0.1477012,-0.002251744,0.03510681,0.1518328,0.2826574,-0.5813517,0.417721,0.6384703,100.6443,0.3672562,-0.755349,0.542744
Release,1772880179287,3.652383,2,0.1007688,1.11651,0.2573234,1.150202,0.5209288,-0.05554199,0.7206484,0.4541082,125.9849,0.5846915,-0.06234043,0.8088571,0.1068928,-0.092292,0.03120151,0.1446286,0.8548476,-0.2369528,-0.08462638,-0.4537922,233.9745,0.9593091,-0.2659082,-0.09496764,-0.2560631,-0.3803663,-0.3658147,0.5865725,-0.3326646,0.5375428,0.6964428,-0.3396311,219.7088,-0.3536883,0.5715144,0.7404566,-0.0007687584,-0.01650989,0.04267663,0.04576529,-0.1274319,-0.1172094,0.1640114,0.9711455,27.59466,-0.5343322,-0.4914686,0.687713
Grab,1772880181689,6.054125,2,0.1225721,1.120658,0.247477,1.154185,0.1812885,-0.4253429,0.7474515,0.4770055,123.02,0.2062674,-0.4839489,0.8504395,0.1068928,-0.092292,0.03120151,0.1446286,0.8548476,-0.2369528,-0.08462638,-0.4537922,233.9745,0.9593091,-0.2659082,-0.09496764,-0.2560631,-0.3803663,-0.3658147,0.5865725,-0.3326646,0.5375428,0.6964428,-0.3396311,219.7088,-0.3536883,0.5715144,0.7404566,-0.02257207,-0.0206579,0.05252306,0.06078584,-0.3023488,0.3220377,0.287048,0.8499886,63.57917,-0.5739332,0.6113076,0.5448885
On Target,1772880183134,7.513326,2,0.1069705,1.097643,0.289743,1.140269,0.374327,0.04120172,0.8068857,0.4551014,125.8571,0.4203845,0.04627121,0.9061656,0.111836,-0.05940485,0.02099017,0.128362,0.887977,-0.4389116,-0.08656891,0.1065804,167.7635,0.8930638,-0.4414259,-0.08706482,-0.2304364,-0.4033235,-0.3654355,0.5910279,-0.5074406,0.4537231,0.5761155,-0.4524712,233.8047,-0.5690206,0.5087843,0.6460295,-0.006970502,0.002356887,0.01025701,0.01262335,0.004498049,0.0014837,0.08551501,0.9963257,9.826372,0.05251904,0.01732362,0.9984698
Off Target,1772880183148,7.526136,2,0.1071954,1.098129,0.2897449,1.140759,0.3776039,0.03872529,0.8054243,0.4552003,125.8444,0.4240887,0.04349256,0.9045758,0.1117875,-0.05932686,0.02085747,0.1282621,0.8899772,-0.4367647,-0.08225856,0.1020338,168.2874,0.8946463,-0.4390561,-0.08269011,-0.2308833,-0.402805,-0.3656845,0.5910026,-0.5141971,0.4557108,0.5729249,-0.4468625,233.0851,-0.5747771,0.5094002,0.640424,-0.007195361,0.001870632,0.01025516,0.01266652,0.001297011,-0.0008670231,0.08731019,0.99618,10.01931,0.01485293,-0.009928859,0.9998472
On Target,1772880183162,7.540419,2,0.1072079,1.098299,0.2896899,1.14091,0.376486,0.04337316,0.8061717,0.4543836,125.9494,0.4226351,0.04868979,0.9049911,0.1117844,-0.05943069,0.02107178,0.1283424,0.8887597,-0.4378955,-0.0875923,0.1033513,168.1356,0.8935447,-0.4402531,-0.08806389,-0.2325271,-0.4016673,-0.3663301,0.5912725,-0.5112527,0.4569718,0.5755964,-0.4455178,232.9129,-0.5710579,0.5104274,0.6429284,-0.007207885,0.001700878,0.01031008,0.01269427,0.005283779,-0.001482596,0.0845257,0.9964063,9.717955,0.06237976,-0.01750338,0.9979017
Off Target,1772880183441,7.817741,2,0.1076856,1.100946,0.2868385,1.142783,0.3120143,0.05929308,0.8362318,0.4470434,126.8917,0.3488094,0.06628537,0.9348467,0.1144986,-0.0579387,0.02407466,0.1305619,0.8861248,-0.4314329,-0.05033108,0.1616019,161.4002,0.8979272,-0.4371792,-0.05100144,-0.2275701,-0.3956182,-0.3706099,0.5879231,-0.5478573,0.4158604,0.5381864,-0.4871016,238.3005,-0.6273089,0.4761695,0.6162355,-0.007685639,-0.0009455681,0.01316148,0.01527048,0.03852515,0.05742853,0.05638542,0.9960113,10.23828,0.4317657,0.643623,0.6319325
