Event Name,Timestamp,Trial Duration,Trial Num,Die World Position X,Die World Position Y,Die World Position Z,Die World Position Magnitude,Die World Rotation X,Die World Rotation Y,Die World Rotation Z,Die World Rotation W,Die World Rotation Angle,Die World Rotation Axis X,Die World Rotation Axis Y,Die World Rotation Axis Z,Die Local Position X,Die Local Position Y,Die Local Position Z,Die Local Position Magnitude,Die Local Rotation X,Die Local Rotation Y,Die Local Rotation Z,Die Local Rotation W,Die Local Rotation Angle,Die Local Rotation Axis X,Die Local Rotation Axis Y,Die Local Rotation Axis Z,Die Local_left Position X,Die Local_left Position Y,Die Local_left Position Z,Die Local_left Position Magnitude,Die Local_left Rotation X,Die Local_left Rotation Y,Die Local_left Rotation Z,Die Local_left Rotation W,Die Local_left Rotation Angle,Die Local_left Rotation Axis X,Die Local_left Rotation Axis Y,Die Local_left Rotation Axis Z,Target Offset Position X,Target Offset Position Y,Target Offset Position Z,Target Offset Position Magnitude,Target Offset Rotation X,Target Offset Rotation Y,Target Offset Rotation Z,Target Offset Rotation W,Target Offset Rotation Angle,Target Offset Rotation Axis X,Target Offset Rotation Axis Y,Target Offset Rotation Axis Z
Trial End,1772873883181,15.03402,1,0.09870499,1.098642,0.2912115,1.140859,-0.1764205,-0.4026805,0.810442,-0.3871797,225.5582,-0.1913446,-0.4367447,0.8790002,0.115335,-0.0832873,0.01836393,0.143444,0.04959851,-0.8385672,0.2122049,0.4993138,120.0908,0.05724526,-0.9678516,0.2449211,-0.2989566,-0.367718,-0.4262986,0.6374339,0.4438384,0.3531139,0.06173375,-0.8212838,290.427,0.7779543,0.6189336,0.1082061,0.001295008,0.00135839,0.008788466,0.008986624,0.0315988,0.03297976,0.02812519,-0.9985604,353.8506,0.58911,0.6148558,0.52435
Trial Load,1772873883181,15.03402,2,-0.1,1.1,0.3,1.144552,0,0,0,1,0,1,0,0,0.115335,-0.0832873,0.01836393,0.143444,0.04959851,-0.8385672,0.2122049,0.4993138,120.0908,0.05724526,-0.9678516,0.2449211,-0.2989566,-0.367718,-0.4262986,0.6374339,0.4438384,0.3531139,0.06173375,-0.8212838,290.427,0.7779543,0.6189336,0.1082061,0.2,0,0,0.2,-0.8539482,0.1562738,0.3160765,0.3826833,135,-0.9243069,0.1691496,0.3421187
Release,1772873883192,15.03402,2,-0.1,1.1,0.3,1.144552,0,0,0,1,0,1,0,0,0.1026577,-0.2107877,0.1704982,0.289896,0.6627809,0.6043372,-0.3174086,0.3078149,144.1448,0.6966035,0.6351774,-0.3336064,-0.2747282,-0.4377165,-0.2418586,0.5705847,-0.6285896,-0.09813529,0.7573164,0.1473657,163.0514,-0.6355282,-0.09921855,0.7656759,0.2,0,0,0.2,-0.8539482,0.1562738,0.3160765,0.3826833,135,-0.9243069,0.1691496,0.3421187
Trial Start,1772873884540,0,2,-0.1007182,1.100618,0.3011506,1.145511,0.02595251,-0.00141608,0.01595951,0.9995348,3.495513,0.8509295,-0.04643034,0.5232795,0.1026577,-0.2107877,0.1704982,0.289896,0.6627809,0.6043372,-0.3174086,0.3078149,144.1448,0.6966035,0.6351774,-0.3336064,-0.2747282,-0.4377165,-0.2418586,0.5705847,-0.6285896,-0.09813529,0.7573164,0.1473657,163.0514,-0.6355282,-0.09921855,0.7656759,0.2007182,-0.000617981,-0.001150548,0.2007225,-0.8664242,0.1349114,0.3126684,0.3651663,137.1644,-0.930696,0.1449192,0.3358623
Grab,1772873884540,0,2,-0.1007182,1.100618,0.3011506,1.145511,0.02595251,-0.00141608,0.01595951,0.9995348,3.495513,0.8509295,-0.04643034,0.5232795,0.1026577,-0.2107877,0.1704982,0.289896,0.6627809,0.6043372,-0.3174086,0.3078149,144.1448,0.6966035,0.6351774,-0.3336064,-0.2747282,-0.4377165,-0.2418586,0.5705847,-0.6285896,-0.09813529,0.7573164,0.1473657,163.0514,-0.6355282,-0.09921855,0.7656759,0.2007182,-0.000617981,-0.001150548,0.2007225,-0.8664242,0.1349114,0.3126684,0.3651663,137.1644,-0.930696,0.1449192,0.3358623
Release,1772873884955,0.4173242,2,-0.07950608,1.109493,0.2970554,1.15132,-0.3663939,0.04393769,0.03450434,0.9287812,43.50876,-0.9885746,0.1185491,0.09309682,0.1295343,-0.08855405,0.03855618,0.1615782,0.5142524,0.6528838,0.321719,0.4536346,126.0458,0.5770415,0.7325995,0.3610002,-0.2751539,-0.4398772,-0.2688202,0.5843509,-0.6774769,-0.3440273,0.6410057,-0.1085453,192.463,-0.6815037,-0.346072,0.6448156,0.1795061,-0.009493351,0.002944618,0.1797811,-0.6444227,0.2146735,0.2606244,0.6860828,93.35835,-0.8857759,0.2950744,0.3582351
Grab,1772873885832,1.291481,2,-0.07866217,1.109681,0.2954025,1.151018,-0.3979818,0.05767835,0.05499125,0.9139254,47.89284,-0.9805353,0.1421061,0.1354858,0.1295343,-0.08855405,0.03855618,0.1615782,0.5142524,0.6528838,0.321719,0.4536346,126.0458,0.5770415,0.7325995,0.3610002,-0.2751539,-0.4398772,-0.2688202,0.5843509,-0.6774769,-0.3440273,0.6410057,-0.1085453,192.463,-0.6815037,-0.346072,0.6448156,0.1786622,-0.00968051,0.004597485,0.1789833,-0.6185069,0.1995831,0.2548863,0.7159949,88.55041,-0.8859793,0.2858925,0.3651115
Release,1772873886178,1.639243,2,-0.04767254,1.104807,0.2948819,1.144476,-0.7971914,0.1553895,-0.02690353,0.582766,108.7094,-0.9809897,0.1912157,-0.03310633,0.1167552,-0.08689153,0.03587355,0.1498961,0.1300725,0.5590443,0.5762941,0.5817524,108.8522,0.1599188,0.687322,0.7085299,-0.2712659,-0.4284361,-0.2936175,0.5859641,-0.6026344,-0.6547644,0.2564792,-0.3772719,224.3296,-0.650721,-0.7070106,0.2769447,0.1476725,-0.004806638,0.005118132,0.1478394,-0.1392608,0.3065538,0.2026086,0.9195548,46.27782,-0.3543878,0.7801111,0.5155939
Grab,1772873887082,2.541738,2,-0.04840155,1.109796,0.30158,1.15106,-0.7728107,0.1395803,0.03273078,0.6182311,103.6258,-0.9832242,0.1775838,0.04164241,0.1167552,-0.08689153,0.03587355,0.1498961,0.1300725,0.5590443,0.5762941,0.5817524,108.8522,0.1599188,0.687322,0.7085299,-0.2712659,-0.4284361,-0.2936175,0.5859641,-0.6026344,-0.6547644,0.2564792,-0.3772719,224.3296,-0.650721,-0.7070106,0.2769447,0.1484016,-0.009795785,-0.00158,0.1487329,-0.1931925,0.2595152,0.181307,0.9286852,43.53842,-0.5209187,0.6997492,0.488871
Release,1772873887414,2.876116,2,-0.007152226,1.119746,0.2740732,1.152822,-0.9343591,-0.1104295,0.1417637,0.3077037,144.1582,-0.9820037,-0.1160605,0.1489924,0.1332633,-0.0866107,0.03825051,0.1634736,0.01794205,0.1311984,0.5939807,0.7935061,74.97123,0.02948268,0.2155875,0.9760394,-0.2578757,-0.4315108,-0.3456371,0.6100545,-0.2556235,-0.6714055,0.2233766,-0.6587673,262.4119,-0.3397682,-0.8924148,0.2969064,0.1071522,-0.01974607,0.02592677,0.1119987,0.03774254,0.2646157,-0.1973097,0.9431983,38.8084,0.1136036,0.796483,-0.5938944
