Event Name,Timestamp,Trial Duration,Trial Num,Die World Position X,Die World Position Y,Die World Position Z,Die World Position Magnitude,Die World Rotation X,Die World Rotation Y,Die World Rotation Z,Die World Rotation W,Die World Rotation Angle,Die World Rotation Axis X,Die World Rotation Axis Y,Die World Rotation Axis Z,Die Local Position X,Die Local Position Y,Die Local Position Z,Die Local Position Magnitude,Die Local Rotation X,Die Local Rotation Y,Die Local Rotation Z,Die Local Rotation W,Die Local Rotation Angle,Die Local Rotation Axis X,Die Local Rotation Axis Y,Die Local Rotation Axis Z,Target Offset Position X,Target Offset Position Y,Target Offset Position Z,Target Offset Position Magnitude,Target Offset Rotation X,Target Offset Rotation Y,Target Offset Rotation Z,Target Offset Rotation W,Target Offset Rotation Angle,Target Offset Rotation Axis X,Target Offset Rotation Axis Y,Target Offset Rotation Axis Z
Release,1772793994706,8.18033,2,0.1040574,1.096054,0.3024497,1.141769,-0.6815806,0.4677809,-0.3551114,0.4364915,128.2395,-0.7575572,0.5199251,-0.3946961,0.123222,-0.08821245,0.02731798,0.153985,-0.4086156,0.7511944,0.5124964,-0.07802404,188.95,-0.4098651,0.7534915,0.5140635,-0.00405737,0.003946304,-0.002449691,0.006167378,0.0160545,0.04675337,-0.1115657,0.9925269,14.01816,0.1315656,0.3831407,-0.9142731
Grab,1772793997608,11.08282,2,0.1040574,1.096054,0.3024497,1.141769,-0.6815806,0.4677809,-0.3551114,0.4364915,128.2395,-0.7575572,0.5199251,-0.3946961,0.123222,-0.08821245,0.02731798,0.153985,-0.4086156,0.7511944,0.5124964,-0.07802404,188.95,-0.4098651,0.7534915,0.5140635,-0.00405737,0.003946304,-0.002449691,0.006167378,0.0160545,0.04675337,-0.1115657,0.9925269,14.01816,0.1315656,0.3831407,-0.9142731
On Target,1772794000152,13.63765,2,0.09731579,1.099342,0.3042401,1.144808,-0.5851942,0.630062,-0.3646358,0.357226,138.1401,-0.6265342,0.6745716,-0.3903949,0.1151443,-0.08910498,0.0290968,0.148474,-0.3584587,0.5504829,0.6881568,0.3080846,144.1123,-0.376786,0.5786281,0.7233409,0.002684213,0.0006583929,-0.004240096,0.005061314,-0.0239,-0.01933965,0.07822135,0.9964619,9.642428,-0.2843654,-0.2301057,0.9306879
Off Target,1772794000180,13.66573,2,0.09671759,1.099436,0.3053531,1.145144,-0.5990732,0.6413224,-0.3266648,0.3508661,138.9194,-0.6397446,0.6848621,-0.3488422,0.1160574,-0.09017269,0.02818205,0.1496485,-0.3609303,0.5261719,0.706244,0.306744,144.2738,-0.3792113,0.5528223,0.742015,0.003282413,0.0005636215,-0.005353123,0.006304588,-0.04013908,-0.05634202,0.06526762,0.9954671,10.91494,-0.4220422,-0.5924079,0.6862561
Release,1772794000400,13.87361,2,0.09209727,1.096225,0.3087731,1.142599,-0.6993481,0.6300815,-0.2004554,0.2715274,148.4896,-0.7266477,0.6546773,-0.2082804,0.1164895,-0.09596168,0.02327446,0.1527094,-0.375386,0.3592277,0.8039443,0.2893344,146.3638,-0.3921594,0.3752791,0.839867,0.007902727,0.003774643,-0.008773088,0.01239629,-0.01889592,-0.2132611,-0.01825221,0.976642,24.81614,-0.08793998,-0.9924991,-0.08494421
Grab,1772794001331,14.8043,2,0.09209727,1.096225,0.3087731,1.142599,-0.6993481,0.6300815,-0.2004554,0.2715274,148.4896,-0.7266477,0.6546773,-0.2082804,0.1164895,-0.09596168,0.02327446,0.1527094,-0.375386,0.3592277,0.8039443,0.2893344,146.3638,-0.3921594,0.3752791,0.839867,0.007902727,0.003774643,-0.008773088,0.01239629,-0.01889592,-0.2132611,-0.01825221,0.976642,24.81614,-0.08793998,-0.9924991,-0.08494421
On Target,1772794002456,15.94312,2,0.09906258,1.095952,0.2975717,1.139944,-0.6977981,0.5230282,-0.3320813,0.3595016,137.8608,-0.7477921,0.5605007,-0.3558733,0.1153017,-0.07366381,0.0290133,0.1398664,-0.3522007,0.4654904,0.7317978,0.3517745,138.8082,-0.3762488,0.4972738,0.7817645,0.0009374171,0.004048467,0.002428323,0.004813064,0.03803176,-0.03846445,-0.06669086,0.9963065,9.852098,0.4428999,-0.4479389,-0.7766504
Off Target,1772794002471,15.95689,2,0.09905507,1.096318,0.2977647,1.140346,-0.6998882,0.5201074,-0.3352048,0.3567667,138.1965,-0.7491898,0.5567449,-0.3588174,0.1154336,-0.07361275,0.02897489,0.1399403,-0.3508852,0.4678463,0.7316957,0.3501727,139.0042,-0.3746032,0.4994702,0.7811543,0.0009449348,0.00368166,0.002235323,0.004409557,0.04339117,-0.03767201,-0.06754146,0.9960604,10.17516,0.4893087,-0.4248155,-0.7616439
On Target,1772794002484,15.97136,2,0.09910847,1.096484,0.2978404,1.14053,-0.694643,0.524193,-0.3377804,0.3586047,137.9709,-0.7441359,0.5615414,-0.361847,0.1162446,-0.07330349,0.02884138,0.1404209,-0.3548678,0.4630861,0.7306619,0.3546174,138.46,-0.3795331,0.4952731,0.7814469,0.000891529,0.003516078,0.002159625,0.004221565,0.04019967,-0.03466414,-0.0616599,0.9966848,9.333556,0.4940916,-0.4260548,-0.7578579
Trial End,1772794003471,16.95704,2,0.09949529,1.097682,0.2986026,1.141915,-0.6622438,0.5194411,-0.3785725,0.3850935,134.7009,-0.7175857,0.5628494,-0.4102088,0.1171411,-0.0705674,0.02944114,0.1398877,-0.3491007,0.47999,0.7147363,0.3699869,136.5704,-0.3757662,0.5166534,0.7693303,0.0005047098,0.002317786,0.001397371,0.002753091,0.03583515,0.01973769,-0.04029264,0.9983501,6.583522,0.6240851,0.3437406,-0.7017141
