Event Name,Timestamp,Trial Duration,Block Num,Trial Num,Die World Position X,Die World Position Y,Die World Position Z,Die World Position Magnitude,Die World Rotation X,Die World Rotation Y,Die World Rotation Z,Die World Rotation W,Die World Rotation Angle,Die World Rotation Axis X,Die World Rotation Axis Y,Die World Rotation Axis Z,Die Local Position X,Die Local Position Y,Die Local Position Z,Die Local Position Magnitude,Die Local Rotation X,Die Local Rotation Y,Die Local Rotation Z,Die Local Rotation W,Die Local Rotation Angle,Die Local Rotation Axis X,Die Local Rotation Axis Y,Die Local Rotation Axis Z,Die Local_left Position X,Die Local_left Position Y,Die Local_left Position Z,Die Local_left Position Magnitude,Die Local_left Rotation X,Die Local_left Rotation Y,Die Local_left Rotation Z,Die Local_left Rotation W,Die Local_left Rotation Angle,Die Local_left Rotation Axis X,Die Local_left Rotation Axis Y,Die Local_left Rotation Axis Z,Target Offset Position X,Target Offset Position Y,Target Offset Position Z,Target Offset Position Magnitude,Target Offset Rotation X,Target Offset Rotation Y,Target Offset Rotation Z,Target Offset Rotation W,Target Offset Rotation Angle,Target Offset Rotation Axis X,Target Offset Rotation Axis Y,Target Offset Rotation Axis Z
On Target,1772953368496,15.6329,2,1,-0.1045295,1.097103,0.2932228,1.140413,0.05914228,-0.485021,0.8078586,0.3295776,141.5137,0.06264219,-0.5137235,0.8556659,0.1166641,0.1240351,0.07928421,0.1878329,0.6641302,0.7120054,-0.02738959,-0.226339,206.1633,0.6818245,0.7309753,-0.02811933,0.03923963,-0.162013,-0.6270442,0.6488239,-0.7318985,-0.3201021,0.586532,0.1335644,164.6488,-0.7385155,-0.3229961,0.5918347,0.004529491,0.002896547,0.006777197,0.00865082,0.05958916,0.01777158,-0.06097946,0.9962003,9.992758,0.6842025,0.2040532,-0.7001659
Off Target,1772953368760,15.89562,2,1,-0.1022329,1.101618,0.2974294,1.145634,-0.01398316,-0.5036615,0.7837346,0.3631663,137.4104,-0.01500783,-0.5405693,0.8411658,0.1166641,0.1240351,0.07928421,0.1878329,0.6641302,0.7120054,-0.02738959,-0.226339,206.1633,0.6818245,0.7309753,-0.02811933,0.03923963,-0.162013,-0.6270442,0.6488239,-0.7318985,-0.3201021,0.586532,0.1335644,164.6488,-0.7385155,-0.3229961,0.5918347,0.002232924,-0.00161767,0.002570629,0.00376974,0.06286853,0.06079698,0.01347195,0.9960773,10.15334,0.7104689,0.6870586,0.1522447
On Target,1772953370078,17.21496,2,1,-0.1056059,1.095683,0.301127,1.141206,0.01123918,-0.5690835,0.7533923,0.3292686,141.5512,0.01190293,-0.6026918,0.7978854,0.1166641,0.1240351,0.07928421,0.1878329,0.6641302,0.7120054,-0.02738959,-0.226339,206.1633,0.6818245,0.7309753,-0.02811933,0.03923963,-0.162013,-0.6270442,0.6488239,-0.7318985,-0.3201021,0.586532,0.1335644,164.6488,-0.7385155,-0.3229961,0.5918347,0.005605944,0.004316688,-0.001126975,0.007164528,-0.01436018,0.08280895,-0.009701112,0.9964148,9.706417,-0.1697358,0.9787933,-0.1146661
Off Target,1772953370162,17.2976,2,1,-0.1002374,1.100458,0.2967488,1.144166,-0.003078348,-0.4845998,0.7998484,0.3541132,138.5218,-0.003291638,-0.5181763,0.8552675,0.1166641,0.1240351,0.07928421,0.1878329,0.6641302,0.7120054,-0.02738959,-0.226339,206.1633,0.6818245,0.7309753,-0.02811933,0.03923963,-0.162013,-0.6270442,0.6488239,-0.7318985,-0.3201021,0.586532,0.1335644,164.6488,-0.7385155,-0.3229961,0.5918347,0.0002374426,-0.0004580021,0.003251165,0.003291841,0.08103394,0.0510824,-0.006503972,0.9953803,11.01901,0.8440075,0.5320478,-0.067742
On Target,1772953370982,18.11734,2,1,-0.09726672,1.104414,0.2974655,1.147901,0.03593232,-0.4597524,0.7928319,0.3984397,133.0387,0.03917634,-0.5012594,0.8644097,0.1166641,0.1240351,0.07928421,0.1878329,0.6641302,0.7120054,-0.02738959,-0.226339,206.1633,0.6818245,0.7309753,-0.02811933,0.03923963,-0.162013,-0.6270442,0.6488239,-0.7318985,-0.3201021,0.586532,0.1335644,164.6488,-0.7385155,-0.3229961,0.5918347,-0.002733283,-0.004414082,0.002534509,0.005777429,0.08395384,-0.01176526,0.007423033,0.9963726,9.763328,0.9865549,-0.1382555,0.08722924
Off Target,1772953371218,18.35406,2,1,-0.09836485,1.104436,0.2987841,1.148358,0.07057834,-0.4715583,0.8085436,0.3448315,139.657,0.07519016,-0.5023714,0.8613765,0.1166641,0.1240351,0.07928421,0.1878329,0.6641302,0.7120054,-0.02738959,-0.226339,206.1633,0.6818245,0.7309753,-0.02811933,0.03923963,-0.162013,-0.6270442,0.6488239,-0.7318985,-0.3201021,0.586532,0.1335644,164.6488,-0.7385155,-0.3229961,0.5918347,-0.001635149,-0.004435897,0.001215935,0.004881536,0.06670217,-0.004038551,-0.05663207,0.9961564,10.05039,0.7614945,-0.04610546,-0.6465307
On Target,1772953371717,18.85412,2,1,-0.09869261,1.104077,0.2992797,1.14817,0.08435704,-0.488065,0.8043464,0.3281818,141.6831,0.08930313,-0.5166817,0.8515075,0.1166641,0.1240351,0.07928421,0.1878329,0.6641302,0.7120054,-0.02738959,-0.226339,206.1633,0.6818245,0.7309753,-0.02811933,0.03923963,-0.162013,-0.6270442,0.6488239,-0.7318985,-0.3201021,0.586532,0.1335644,164.6488,-0.7385155,-0.3229961,0.5918347,-0.001307391,-0.004076719,0.0007202625,0.004341392,0.04569587,0.0004219833,-0.07383642,0.9962229,9.962992,0.5262431,0.004859647,-0.8503155
Off Target,1772953377593,24.72837,2,1,-0.09853534,1.102246,0.2983781,1.146161,0.115224,-0.5191037,0.7846684,0.3186693,142.8351,0.1215615,-0.5476552,0.8278264,0.1166641,0.1240351,0.07928421,0.1878329,0.6641302,0.7120054,-0.02738959,-0.226339,206.1633,0.6818245,0.7309753,-0.02811933,0.03923963,-0.162013,-0.6270442,0.6488239,-0.7318985,-0.3201021,0.586532,0.1335644,164.6488,-0.7385155,-0.3229961,0.5918347,-0.001464657,-0.002245784,0.001621932,0.003133597,-0.0005559595,-0.007210165,-0.08785015,0.9961075,10.11398,-0.006307214,-0.08179742,-0.9966369
On Target,1772953377620,24.75597,2,1,-0.09830047,1.102282,0.2985811,1.146228,0.1143194,-0.5201309,0.783896,0.319221,142.7684,0.1206308,-0.5488464,0.8271735,0.1166641,0.1240351,0.07928421,0.1878329,0.6641302,0.7120054,-0.02738959,-0.226339,206.1633,0.6818245,0.7309753,-0.02811933,0.03923963,-0.162013,-0.6270442,0.6488239,-0.7318985,-0.3201021,0.586532,0.1335644,164.6488,-0.7385155,-0.3229961,0.5918347,-0.00169953,-0.002281666,0.001418948,0.003179279,-0.001358822,-0.006475104,-0.08659454,0.9962218,9.964486,-0.01564619,-0.07455774,-0.9970949
Off Target,1772953377634,24.77017,2,1,-0.09799263,1.102239,0.2988944,1.146242,0.1183213,-0.5210816,0.7823368,0.3200363,142.6698,0.1248898,-0.5500091,0.8257678,0.1166641,0.1240351,0.07928421,0.1878329,0.6641302,0.7120054,-0.02738959,-0.226339,206.1633,0.6818245,0.7309753,-0.02811933,0.03923963,-0.162013,-0.6270442,0.6488239,-0.7318985,-0.3201021,0.586532,0.1335644,164.6488,-0.7385155,-0.3229961,0.5918347,-0.002007373,-0.002239108,0.001105607,0.003203984,-0.004380999,-0.009661795,-0.08743957,0.9961135,10.10638,-0.0497385,-0.1096926,-0.9927216
On Target,1772953377675,24.81216,2,1,-0.09753386,1.102243,0.2990515,1.146248,0.1161687,-0.5233912,0.7815095,0.3190759,142.7859,0.1225758,-0.5522583,0.8246126,0.1166641,0.1240351,0.07928421,0.1878329,0.6641302,0.7120054,-0.02738959,-0.226339,206.1633,0.6818245,0.7309753,-0.02811933,0.03923963,-0.162013,-0.6270442,0.6488239,-0.7318985,-0.3201021,0.586532,0.1335644,164.6488,-0.7385155,-0.3229961,0.5918347,-0.002466142,-0.002243042,0.0009485185,0.003465946,-0.005799016,-0.006697574,-0.08656266,0.9962071,9.983814,-0.06664373,-0.07697018,-0.9947996
Off Target,1772953380524,27.65934,2,1,-0.09947713,1.099904,0.2960647,1.143389,0.00609064,-0.4906023,0.7996424,0.3461853,139.4917,0.006492069,-0.5229375,0.8523463,0.1166641,0.1240351,0.07928421,0.1878329,0.6641302,0.7120054,-0.02738959,-0.226339,206.1633,0.6818245,0.7309753,-0.02811933,0.03923963,-0.162013,-0.6270442,0.6488239,-0.7318985,-0.3201021,0.586532,0.1335644,164.6488,-0.7385155,-0.3229961,0.5918347,-0.0005228743,9.572506E-05,0.003935277,0.003971016,0.07238371,0.05064059,-0.01687943,0.9959475,10.32009,0.8048186,0.5630616,-0.1876787
On Target,1772953384244,31.3816,2,1,-0.09797773,1.099781,0.29302,1.142357,0.0312175,-0.5889291,0.7353413,0.3338583,140.9938,0.03311768,-0.6247767,0.7801009,0.1166641,0.1240351,0.07928421,0.1878329,0.6641302,0.7120054,-0.02738959,-0.226339,206.1633,0.6818245,0.7309753,-0.02811933,0.03923963,-0.162013,-0.6270442,0.6488239,-0.7318985,-0.3201021,0.586532,0.1335644,164.6488,-0.7385155,-0.3229961,0.5918347,-0.002022274,0.0002186298,0.006980062,0.007270395,-0.04624327,0.07175358,-0.008642199,0.9963125,9.844061,-0.5389654,0.8362882,-0.1007249
Off Target,1772953384662,31.79791,2,1,-0.09323954,1.101286,0.2913238,1.142976,0.02821857,-0.5581679,0.770402,0.3068111,144.2657,0.0296485,-0.5864522,0.809441,0.1166641,0.1240351,0.07928421,0.1878329,0.6641302,0.7120054,-0.02738959,-0.226339,206.1633,0.6818245,0.7309753,-0.02811933,0.03923963,-0.162013,-0.6270442,0.6488239,-0.7318985,-0.3201021,0.586532,0.1335644,164.6488,-0.7385155,-0.3229961,0.5918347,-0.006760463,-0.001285553,0.008676171,0.01107395,-0.00504266,0.07877563,-0.04283457,0.995959,10.30527,-0.05614856,0.8771439,-0.4769506
On Target,1772953385856,32.99288,2,1,-0.09883326,1.097452,0.28438,1.137999,0.00427027,-0.5792432,0.7162801,0.3891041,134.2025,0.004635582,-0.6287962,0.7775564,0.1166641,0.1240351,0.07928421,0.1878329,0.6641302,0.7120054,-0.02738959,-0.226339,206.1633,0.6818245,0.7309753,-0.02811933,0.03923963,-0.162013,-0.6270442,0.6488239,-0.7318985,-0.3201021,0.586532,0.1335644,164.6488,-0.7385155,-0.3229961,0.5918347,-0.001166739,0.002547622,0.01562005,0.0158694,-0.03520624,0.05794904,0.05399176,0.9962367,9.944805,-0.4061831,0.6685724,0.6229163
Off Target,1772953385913,33.04811,2,1,-0.09946417,1.096531,0.2831136,1.13685,-0.003562502,-0.5671163,0.715138,0.4085881,131.7677,-0.003903175,-0.6213482,0.7835249,0.1166641,0.1240351,0.07928421,0.1878329,0.6641302,0.7120054,-0.02738959,-0.226339,206.1633,0.6818245,0.7309753,-0.02811933,0.03923963,-0.162013,-0.6270442,0.6488239,-0.7318985,-0.3201021,0.586532,0.1335644,164.6488,-0.7385155,-0.3229961,0.5918347,-0.0005358309,0.003468752,0.01688644,0.01724736,-0.02242631,0.04883926,0.07251017,0.9959188,10.35655,-0.2484768,0.5411244,0.803391
On Target,1772953386052,33.18717,2,1,-0.1004045,1.095513,0.2836956,1.136096,-0.003868533,-0.543725,0.7242268,0.4240799,129.8151,-0.004271674,-0.6003866,0.7996986,0.1166641,0.1240351,0.07928421,0.1878329,0.6641302,0.7120054,-0.02738959,-0.226339,206.1633,0.6818245,0.7309753,-0.02811933,0.03923963,-0.162013,-0.6270442,0.6488239,-0.7318985,-0.3201021,0.586532,0.1335644,164.6488,-0.7385155,-0.3229961,0.5918347,0.0004044771,0.004486918,0.01630443,0.0169154,0.001134953,0.03249823,0.07940464,0.996312,9.844538,0.01322724,0.3787485,0.9254164
