Event Name,Timestamp,Trial Duration,Trial Num,Die World Position X,Die World Position Y,Die World Position Z,Die World Position Magnitude,Die World Rotation X,Die World Rotation Y,Die World Rotation Z,Die World Rotation W,Die World Rotation Angle,Die World Rotation Axis X,Die World Rotation Axis Y,Die World Rotation Axis Z,Die Local Position X,Die Local Position Y,Die Local Position Z,Die Local Position Magnitude,Die Local Rotation X,Die Local Rotation Y,Die Local Rotation Z,Die Local Rotation W,Die Local Rotation Angle,Die Local Rotation Axis X,Die Local Rotation Axis Y,Die Local Rotation Axis Z,Die Local_left Position X,Die Local_left Position Y,Die Local_left Position Z,Die Local_left Position Magnitude,Die Local_left Rotation X,Die Local_left Rotation Y,Die Local_left Rotation Z,Die Local_left Rotation W,Die Local_left Rotation Angle,Die Local_left Rotation Axis X,Die Local_left Rotation Axis Y,Die Local_left Rotation Axis Z,Target Offset Position X,Target Offset Position Y,Target Offset Position Z,Target Offset Position Magnitude,Target Offset Rotation X,Target Offset Rotation Y,Target Offset Rotation Z,Target Offset Rotation W,Target Offset Rotation Angle,Target Offset Rotation Axis X,Target Offset Rotation Axis Y,Target Offset Rotation Axis Z
Grab,1772879600406,0,2,-0.1035632,1.094721,0.3006107,1.139959,-0.0006605402,-0.06196059,-0.01090076,0.9980189,7.214344,-0.01049887,-0.9848242,-0.1732606,0.08759219,-0.1866171,0.1807456,0.2741666,0.6886839,0.602603,-0.2958378,0.2739786,148.1977,0.7160842,0.6265785,-0.3076082,0.09777258,-0.5090484,-0.2450566,0.5733607,-0.2496826,-0.4827547,0.8390415,0.02481785,177.1558,-0.2497595,-0.4829035,0.8393,0.2035632,0.005279064,-0.0006106496,0.2036326,-0.5487214,0.5258939,-0.5429815,0.3570876,138.1571,-0.5874516,0.5630128,-0.5813065
Release,1772879600766,0.3642991,2,-0.09944452,1.104595,0.2755906,1.14279,0.3422589,0.04013181,0.09475227,0.9339542,41.88033,0.9576547,0.1122905,0.2651208,0.1197161,-0.08839948,0.03274163,0.152376,0.7075909,0.6464632,-0.2742223,0.07875672,170.9658,0.7097957,0.6484774,-0.2750767,-0.3809251,-0.3592841,-0.163808,0.5486548,-0.4916998,0.1047915,0.7838825,0.3643878,137.2602,-0.5280013,0.1125281,0.8417554,0.1994445,-0.004594564,0.02440941,0.2009852,-0.7470651,0.5683205,-0.3202272,0.127907,165.3027,-0.7532522,0.5730272,-0.3228793
Grab,1772879600795,0.3907276,2,-0.09878413,1.105242,0.2750888,1.143238,0.3721474,0.035796,0.1261169,0.9188685,46.47753,0.9431874,0.09072302,0.3196363,0.1197161,-0.08839948,0.03274163,0.152376,0.7075909,0.6464632,-0.2742223,0.07875672,170.9658,0.7097957,0.6484774,-0.2750767,-0.3809251,-0.3592841,-0.163808,0.5486548,-0.4916998,0.1047915,0.7838825,0.3643878,137.2602,-0.5280013,0.1125281,0.8417554,0.1987841,-0.005242348,0.02491125,0.2004075,-0.7630179,0.5593483,-0.3122028,0.08638518,170.0886,-0.765881,0.5614472,-0.3133743
Release,1772879600807,0.4036476,2,-0.09852332,1.10552,0.2750087,1.143465,0.3802929,0.03509957,0.1373931,0.9139302,47.89148,0.9369791,0.08647957,0.3385139,0.1218418,-0.08970915,0.0338976,0.1550555,0.7395284,0.6165755,-0.2653642,0.05013967,174.252,0.7404598,0.6173521,-0.2656984,-0.3806036,-0.3590834,-0.1649241,0.5486346,-0.4728129,0.1591431,0.7918881,0.3521857,138.7579,-0.5051796,0.1700374,0.8460975,0.1985233,-0.005520225,0.02499133,0.2001663,-0.7684843,0.5547041,-0.3103522,0.07359854,171.5586,-0.7705741,0.5562126,-0.3111961
Grab,1772879600822,0.4166988,2,-0.0982193,1.105838,0.2749278,1.143726,0.3913979,0.03220944,0.1529902,0.906843,49.85468,0.9286526,0.07642193,0.362993,0.1218418,-0.08970915,0.0338976,0.1550555,0.7395284,0.6165755,-0.2653642,0.05013967,174.252,0.7404598,0.6173521,-0.2656984,-0.3806036,-0.3590834,-0.1649241,0.5486346,-0.4728129,0.1591431,0.7918881,0.3521857,138.7579,-0.5051796,0.1700374,0.8460975,0.1982193,-0.005837679,0.02507222,0.1998839,-0.7748473,0.5488074,-0.308873,0.05495114,173.6999,-0.7760198,0.5496379,-0.3093404
Release,1772879600850,0.4469507,2,-0.09792626,1.106079,0.2748025,1.143904,0.4019069,0.02904226,0.1682356,0.8996245,51.7825,0.9204023,0.06650934,0.3852743,0.1249535,-0.09101849,0.03309743,0.1580923,0.7706054,0.5835485,-0.2548282,0.02647549,176.9658,0.7708757,0.5837532,-0.2549176,-0.3813471,-0.3587546,-0.1650892,0.5489854,-0.4597034,0.2077787,0.7978476,0.3300608,141.4551,-0.4869947,0.220114,0.8452137,0.1979263,-0.006078482,0.02519751,0.1996163,-0.7805885,0.5428531,-0.3076511,0.03664563,175.7998,-0.7811131,0.543218,-0.3078579
Grab,1772879602544,2.138704,2,-0.09825355,1.100147,0.2762181,1.13854,0.4759324,0.02946033,0.111467,0.871892,58.64151,0.9718891,0.06016016,0.2276238,0.1249535,-0.09101849,0.03309743,0.1580923,0.7706054,0.5835485,-0.2548282,0.02647549,176.9658,0.7708757,0.5837532,-0.2549176,-0.3813471,-0.3587546,-0.1650892,0.5489854,-0.4597034,0.2077787,0.7978476,0.3300608,141.4551,-0.4869947,0.220114,0.8452137,0.1982535,-0.0001465082,0.02378193,0.1996749,-0.764625,0.6001048,-0.234699,0.01180391,178.6473,-0.7646784,0.6001467,-0.2347154
Release,1772879603558,3.154357,2,-0.009398621,1.092837,0.2397201,1.118859,0.8386716,0.07754376,0.274373,0.4640436,124.7033,0.9467825,0.08753972,0.3097417,0.1072622,-0.09322567,0.03713789,0.1468858,0.7707535,0.1902884,-0.4185697,-0.4410542,232.3423,0.858797,0.2120252,-0.4663831,-0.372978,-0.2645669,-0.2424104,0.5175626,-0.1475794,0.694434,0.5761818,0.4049647,132.2222,-0.1614068,0.7594984,0.6301666,0.1093986,0.007163167,0.06027988,0.1251121,-0.7695054,0.4688188,0.1201102,-0.4167063,229.2536,-0.8465021,0.5157288,0.1321284
Grab,1772879603586,3.181796,2,-0.008627745,1.092412,0.2395386,1.118399,0.8286875,0.06113167,0.2797055,0.4809415,122.5062,0.9451783,0.0697251,0.3190244,0.1072622,-0.09322567,0.03713789,0.1468858,0.7707535,0.1902884,-0.4185697,-0.4410542,232.3423,0.858797,0.2120252,-0.4663831,-0.372978,-0.2645669,-0.2424104,0.5175626,-0.1475794,0.694434,0.5761818,0.4049647,132.2222,-0.1614068,0.7594984,0.6301666,0.1086277,0.007588148,0.06046145,0.1245518,-0.7698647,0.4752615,0.09482604,-0.4152625,229.0717,-0.8462826,0.5224367,0.1042386
Release,1772879603614,3.208253,2,-0.008094619,1.091892,0.2398104,1.117946,0.8149053,0.03531464,0.2904193,0.5003388,119.9552,0.9411843,0.04078706,0.3354232,0.1101481,-0.09892964,0.03212124,0.1514974,0.792863,0.2127728,-0.4028022,-0.4047796,227.7546,0.8670719,0.2326875,-0.4405029,-0.3733303,-0.2624037,-0.24258,0.5167942,-0.1491841,0.6742257,0.6167386,0.3778857,135.5945,-0.1611316,0.7282217,0.6661307,0.1080946,0.008108139,0.06018959,0.1239878,-0.7681032,0.4814431,0.05879308,-0.4180592,229.4242,-0.8455377,0.5299787,0.06472016
